,solution_size,solution_pred_err,solution_real_err
0,29662117888.0,0.582940754311105,0.3602409362792969
1,32634830848.0,0.2622005214725576,0.2064361572265625
2,35623272448.0,0.21204773922233086,0.16506528854370117
3,38611714048.0,0.17256853514199166,0.1342296600341797
4,41602252800.0,0.13719524647575362,0.1061091423034668
5,44588597248.0,0.10461325930599577,0.08066415786743164
6,47561310208.0,0.07441243995780748,0.05659675598144531
7,50551848960.0,0.04684199411729842,0.03892803192138672
8,53538193408.0,0.024875011390711535,0.022570133209228516
9,56509857792.0,0.007887592843270588,0.006260395050048828
